months_as_customer,age,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_relationship,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
119,28,250/500,2000,1079.92,0,MALE,High School,partner,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,1,53600,6700,6700,40200,Y
73,29,250/500,1000,1447.78,0,MALE,Undergraduate,partner,Multi-vehicle Collision,Rear Collision,Total Loss,Police,15,3,0,44910,4990,4990,34930,N
8,31,250/500,500,1229.16,4000000,FEMALE,Graduate,partner,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,3,2,48100,11100,7400,29600,N
294,44,100/300,1000,1226.49,0,FEMALE,Doctorate,partner,Vehicle Theft,No Collision,Trivial Damage,None,3,1,1,6100,610,1220,4270,N
324,46,100/300,2000,897.89,6000000,MALE,Graduate,partner,Single Vehicle Collision,Rear Collision,Minor Damage,Police,13,1,0,79600,15920,15920,47760,N
155,34,100/300,500,1706.79,0,MALE,Graduate,other-relative,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,1,1,1,77040,8560,8560,59920,N
261,45,250/500,1000,1254.18,0,FEMALE,Doctorate,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,16,1,1,62590,11380,11380,39830,N
245,40,500/1000,500,885.08,0,FEMALE,Graduate,other-relative,Single Vehicle Collision,Front Collision,Total Loss,Police,0,1,1,85150,13100,13100,58950,N
235,39,100/300,500,1046.58,4000000,MALE,Graduate,partner,Vehicle Theft,No Collision,Trivial Damage,None,1,1,1,4950,450,900,3600,N
53,36,500/1000,2000,1712.68,0,MALE,Undergraduate,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Fire,17,3,0,51100,10220,5110,35770,N
426,54,500/1000,2000,1097.71,0,FEMALE,Graduate,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Police,13,1,3,100800,16800,16800,67200,N
111,27,250/500,500,1363.77,4000000,FEMALE,Graduate,partner,Single Vehicle Collision,Side Collision,Total Loss,Police,12,1,3,90970,16540,16540,57890,N
86,26,100/300,500,1382.88,7000000,MALE,Graduate,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Police,11,1,1,81840,14880,7440,59520,Y
296,46,100/300,1000,1141.35,7000000,MALE,Graduate,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,18,1,2,54900,5490,5490,43920,N
125,35,500/1000,500,1054.83,7000000,MALE,Graduate,partner,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,3,88660,8060,16120,64480,Y
177,34,100/300,2000,1057.77,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,1,18000,2250,2250,13500,N
238,39,250/500,2000,1488.02,0,FEMALE,Graduate,other-relative,Vehicle Theft,No Collision,Minor Damage,Police,9,1,3,5500,1100,550,3850,N
81,25,100/300,500,920.3,5000000,FEMALE,High School,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Police,11,3,0,73920,13440,6720,53760,Y
128,28,500/1000,1000,986.53,0,FEMALE,High School,other-relative,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,11,1,2,101860,18520,18520,64820,N
449,57,250/500,2000,1440.68,0,MALE,Undergraduate,own-child,Parked Car,No Collision,Minor Damage,None,8,1,1,5390,980,980,3430,N
252,39,250/500,1000,1086.21,0,MALE,Graduate,partner,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,1,2,50490,5610,5610,39270,N
359,47,100/300,2000,1367.68,0,FEMALE,Graduate,partner,Single Vehicle Collision,Front Collision,Total Loss,Police,13,1,3,55500,5550,11100,38850,N
19,32,500/1000,1000,1215.85,0,MALE,High School,partner,Vehicle Theft,No Collision,Minor Damage,Police,8,1,1,7040,1280,640,5120,N
73,26,250/500,2000,1191.19,4000000,MALE,Graduate,not-in-family,Multi-vehicle Collision,Rear Collision,Total Loss,Police,9,3,1,40160,5020,0,35140,N
285,44,500/1000,1000,1594.45,0,MALE,High School,partner,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,2,3,55680,6960,6960,41760,N
196,36,250/500,2000,1463.07,0,MALE,Graduate,own-child,Vehicle Theft,No Collision,Trivial Damage,Police,3,1,1,5300,530,530,4240,Y
223,43,250/500,500,1734.09,0,FEMALE,Graduate,not-in-family,Parked Car,No Collision,Trivial Damage,None,6,1,3,5200,650,650,3900,N
328,48,250/500,500,1411.43,0,MALE,Graduate,own-child,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,17,1,1,59400,5940,11880,41580,N
285,43,100/300,2000,1512.58,0,FEMALE,Undergraduate,other-relative,Vehicle Theft,No Collision,Minor Damage,Police,7,1,1,2520,280,280,1960,N
30,31,250/500,2000,1153.35,0,MALE,Doctorate,not-in-family,Vehicle Theft,No Collision,Trivial Damage,Police,9,1,1,5760,960,960,3840,N
342,49,250/500,500,1722.95,0,MALE,Doctorate,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,0,76700,7670,7670,61360,N
219,39,250/500,2000,1281.07,7000000,FEMALE,High School,partner,Parked Car,No Collision,Trivial Damage,Police,6,1,2,5920,740,740,4440,N
468,62,100/300,500,1011.92,0,MALE,Doctorate,partner,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,7,3,3,64350,7150,7150,50050,N
241,39,250/500,2000,1042.26,0,MALE,Graduate,partner,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,2,19080,4240,2120,12720,N
223,43,500/1000,500,1235.1,0,FEMALE,Graduate,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,1,54400,5440,5440,43520,N
128,32,100/300,2000,768.91,0,FEMALE,Undergraduate,other-relative,Single Vehicle Collision,Rear Collision,Total Loss,Fire,0,1,0,59800,5980,5980,47840,Y
124,29,500/1000,500,1301.72,0,MALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Major Damage,Police,14,3,3,72000,7200,7200,57600,N
343,48,250/500,500,1451.54,3000000,MALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Total Loss,Police,13,4,3,65070,7230,14460,43380,N
404,53,250/500,500,767.14,0,MALE,Undergraduate,not-in-family,Parked Car,No Collision,Trivial Damage,Police,8,1,1,8800,1760,880,6160,N
63,24,250/500,2000,1620.89,0,FEMALE,High School,other-relative,Vehicle Theft,No Collision,Minor Damage,Police,7,1,0,6120,1020,1020,4080,N
210,37,500/1000,2000,1048.46,0,MALE,High School,not-in-family,Vehicle Theft,No Collision,Trivial Damage,None,9,1,2,7080,1180,590,5310,N
335,50,100/300,1000,1538.26,6000000,MALE,High School,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,12,3,3,34320,8580,4290,21450,N
11,40,500/1000,2000,1217.69,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Major Damage,Police,6,3,0,53460,9720,9720,34020,Y
142,33,100/300,2000,1362.64,5000000,FEMALE,Graduate,partner,Single Vehicle Collision,Side Collision,Total Loss,Police,11,1,3,81360,6780,13560,61020,Y
272,43,100/300,1000,1279.13,0,MALE,Doctorate,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,5,3,2,81070,7370,14740,58960,Y
69,26,100/300,2000,924.72,0,FEMALE,High School,partner,Single Vehicle Collision,Front Collision,Minor Damage,Fire,14,1,2,63120,5260,10520,47340,N
38,28,250/500,1000,1019.44,0,MALE,Graduate,not-in-family,Vehicle Theft,No Collision,Trivial Damage,None,17,1,1,7200,1440,720,5040,N
328,46,500/1000,500,1314.6,0,FEMALE,Graduate,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Police,0,1,3,70290,12780,6390,51120,Y
281,43,100/300,1000,1515.18,6000000,MALE,Undergraduate,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,21,3,0,60190,9260,9260,41670,N
246,44,250/500,2000,1649.18,0,MALE,Undergraduate,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Police,18,1,2,61380,11160,5580,44640,Y
298,49,250/500,500,1451.01,0,FEMALE,Undergraduate,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,17,1,2,28100,2810,5620,19670,N
330,50,500/1000,1000,978.46,0,FEMALE,High School,partner,Single Vehicle Collision,Side Collision,Total Loss,Fire,19,1,0,49060,8920,8920,31220,N
362,50,250/500,500,1198.34,4000000,MALE,Undergraduate,partner,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,1,57060,6340,6340,44380,N
241,38,100/300,2000,1003.23,0,FEMALE,Undergraduate,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Fire,23,3,3,77880,12980,12980,51920,N
245,41,500/1000,2000,1212,0,MALE,Graduate,partner,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,4,1,1,73500,7350,14700,51450,N
371,52,250/500,1000,1242.96,7000000,FEMALE,High School,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,2,2,0,88920,6840,13680,68400,N
343,52,500/1000,1000,1053.02,0,FEMALE,Undergraduate,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Police,2,1,2,47630,12990,4330,30310,Y
377,53,100/300,500,1693.63,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Front Collision,Total Loss,Fire,10,3,3,59040,6560,6560,45920,N
154,37,250/500,1000,2047.59,0,FEMALE,Graduate,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Police,2,1,3,79530,14460,7230,57840,N
166,34,100/300,1000,1083.72,0,FEMALE,High School,partner,Single Vehicle Collision,Side Collision,Total Loss,Police,18,1,2,53680,4880,4880,43920,N
298,46,500/1000,1000,1138.42,6000000,MALE,Graduate,own-child,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,1,3,33550,3050,6100,24400,N
235,42,250/500,500,1072.62,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Total Loss,Police,7,4,1,69100,6910,6910,55280,N
172,35,100/300,2000,1219.04,0,MALE,Graduate,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Police,19,3,0,79750,14500,14500,50750,N
27,28,100/300,2000,1371.78,0,MALE,Graduate,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Police,10,3,2,53600,5360,10720,37520,Y
428,54,100/300,2000,1506.21,0,MALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,16,3,0,76560,12760,6380,57420,N
99,32,100/300,1000,1058.21,3000000,MALE,Graduate,partner,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,1,41130,4570,4570,31990,N
107,26,500/1000,2000,932.14,0,MALE,Graduate,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,2,3,3,78650,14300,7150,57200,Y
272,41,500/1000,2000,1608.34,0,FEMALE,Undergraduate,own-child,Single Vehicle Collision,Side Collision,Major Damage,Police,19,1,1,71060,6460,12920,51680,N
151,37,500/1000,1000,1728.56,0,FEMALE,Graduate,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Fire,0,1,1,38830,3530,3530,31770,N
249,43,250/500,1000,1518.46,0,FEMALE,Graduate,own-child,Single Vehicle Collision,Front Collision,Major Damage,Fire,16,1,0,53500,5350,5350,42800,N
177,38,100/300,2000,1540.19,0,FEMALE,Undergraduate,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Police,20,1,0,73700,7370,7370,58960,Y
190,40,500/1000,2000,965.21,0,FEMALE,Graduate,other-relative,Parked Car,No Collision,Trivial Damage,None,10,1,1,6300,630,630,5040,N
174,36,100/300,2000,1278.75,0,FEMALE,Undergraduate,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,2,65400,10900,10900,43600,N
95,28,250/500,1000,773.99,0,MALE,Undergraduate,other-relative,Vehicle Theft,No Collision,Trivial Damage,None,3,1,2,3200,640,320,2240,N
371,51,500/1000,1000,1532.47,0,FEMALE,Undergraduate,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Fire,7,1,3,75400,7540,15080,52780,Y
2,28,250/500,1000,1340.56,0,FEMALE,Graduate,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Fire,19,1,2,58140,6460,6460,45220,N
269,44,100/300,500,1297.75,4000000,FEMALE,Graduate,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,15,3,1,98670,15180,15180,68310,Y
101,27,250/500,1000,433.33,0,MALE,Graduate,other-relative,Parked Car,No Collision,Minor Damage,None,7,1,3,5900,1180,590,4130,N
94,30,250/500,2000,1025.54,0,FEMALE,High School,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Fire,19,1,3,64100,6410,6410,51280,N
117,28,250/500,500,1264.77,0,FEMALE,Undergraduate,partner,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,2,1,55440,5040,10080,40320,Y
111,27,250/500,500,1459.97,5000000,MALE,Graduate,other-relative,Multi-vehicle Collision,Side Collision,Major Damage,Police,2,3,2,80850,7350,14700,58800,Y
242,40,100/300,500,1238.65,0,FEMALE,High School,partner,Vehicle Theft,No Collision,Trivial Damage,Police,5,1,1,7480,680,680,6120,N
440,61,250/500,500,1050.76,0,MALE,Doctorate,partner,Single Vehicle Collision,Side Collision,Major Damage,Fire,21,1,3,53640,5960,5960,41720,Y
20,23,500/1000,1000,1711.72,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,21,3,2,63250,5750,11500,46000,Y
461,57,100/300,500,865.33,7000000,FEMALE,High School,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,7,3,1,59040,9840,9840,39360,N
208,36,250/500,500,1153.49,0,MALE,Undergraduate,other-relative,Multi-vehicle Collision,Side Collision,Total Loss,Police,16,3,0,50500,10100,5050,35350,N
279,43,500/1000,2000,1281.25,0,MALE,Undergraduate,other-relative,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,1,57690,6410,12820,38460,Y
244,40,100/300,500,1342.8,0,FEMALE,Graduate,partner,Vehicle Theft,No Collision,Trivial Damage,Police,2,1,3,5940,660,660,4620,N
134,30,250/500,2000,1443.32,0,FEMALE,Doctorate,partner,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,2,47790,5310,5310,37170,Y
122,29,250/500,1000,1629.94,0,FEMALE,Graduate,other-relative,Parked Car,No Collision,Trivial Damage,None,17,1,1,3850,350,350,3150,N
156,31,100/300,2000,1134.08,0,MALE,Doctorate,partner,Single Vehicle Collision,Front Collision,Major Damage,Police,3,1,0,59000,5900,5900,47200,Y
232,43,250/500,500,1483.91,8000000,MALE,Undergraduate,partner,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,17,3,1,70600,7060,14120,49420,Y
244,40,500/1000,2000,1304.67,7000000,MALE,Graduate,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Police,5,3,1,61490,5590,11180,44720,N
84,30,500/1000,2000,1035.79,0,FEMALE,Graduate,partner,Single Vehicle Collision,Side Collision,Minor Damage,Police,9,1,0,57640,5240,10480,41920,N
394,57,250/500,500,1401.2,0,FEMALE,High School,own-child,Vehicle Theft,No Collision,Trivial Damage,Police,9,1,0,6890,1060,1060,4770,N
246,45,250/500,1000,1665.45,0,MALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Major Damage,Fire,9,3,2,53280,11840,5920,35520,Y
35,29,500/1000,2000,653.66,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,22,3,0,78300,15660,7830,54810,N
156,37,100/300,500,1080.13,0,MALE,Undergraduate,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,3,41490,4610,4610,32270,N
195,36,100/300,2000,1346.18,0,FEMALE,Undergraduate,partner,Multi-vehicle Collision,Front Collision,Total Loss,Fire,14,3,3,68970,12540,6270,50160,N
369,55,250/500,2000,1589.54,0,MALE,Undergraduate,partner,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,6,3,0,85300,17060,8530,59710,N
271,40,100/300,1000,1251.65,0,FEMALE,Undergraduate,partner,Parked Car,No Collision,Minor Damage,None,6,1,0,3080,560,280,2240,N
332,47,100/300,2000,1083.01,0,MALE,Graduate,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Police,22,4,0,71760,11040,11040,49680,Y
107,26,100/300,500,974.59,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,14,3,0,59700,11940,11940,35820,N
217,39,500/1000,2000,1399.85,0,FEMALE,Graduate,other-relative,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,16,3,2,64920,10820,10820,43280,N
243,43,500/1000,500,1307.74,0,FEMALE,Undergraduate,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,10,3,1,37530,4170,4170,29190,N
296,42,250/500,2000,1219.27,0,MALE,Undergraduate,partner,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,9,3,2,64080,7120,7120,49840,N
264,41,100/300,500,1411.3,0,MALE,Doctorate,partner,Single Vehicle Collision,Rear Collision,Minor Damage,Police,4,1,0,60390,10980,5490,43920,Y
108,33,100/300,2000,694.45,0,FEMALE,Graduate,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Police,6,3,1,64350,5850,11700,46800,Y
32,38,100/300,500,1006.77,6000000,FEMALE,Undergraduate,own-child,Multi-vehicle Collision,Side Collision,Minor Damage,Police,15,3,1,70900,14180,7090,49630,N
259,39,250/500,1000,1422.36,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,12,3,3,46560,7760,7760,31040,N
186,33,100/300,1000,1348.32,0,FEMALE,Undergraduate,partner,Vehicle Theft,No Collision,Trivial Damage,Police,3,1,1,4730,860,860,3010,Y
201,40,250/500,2000,1315.56,0,FEMALE,Doctorate,not-in-family,Vehicle Theft,No Collision,Minor Damage,Police,14,1,0,6820,1240,1240,4340,N
436,58,250/500,2000,1407.01,5000000,MALE,Doctorate,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Police,10,1,2,59900,11980,5990,41930,Y
189,36,250/500,2000,1388.58,0,FEMALE,Graduate,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Police,17,3,3,79560,13260,13260,53040,N
105,33,500/1000,500,1310.76,0,FEMALE,High School,not-in-family,Single Vehicle Collision,Front Collision,Total Loss,Police,8,1,1,70290,12780,6390,51120,N
163,31,100/300,1000,1004.63,6000000,MALE,Graduate,not-in-family,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,14,3,0,63910,5810,11620,46480,N
219,40,100/300,500,1134.91,0,FEMALE,Undergraduate,not-in-family,Vehicle Theft,No Collision,Trivial Damage,None,6,1,0,6400,640,640,5120,N
88,25,250/500,1000,1194,0,FEMALE,Graduate,partner,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,6,1,2,66780,7420,7420,51940,Y
40,39,500/1000,1000,1248.25,4000000,FEMALE,Undergraduate,own-child,Parked Car,No Collision,Minor Damage,Police,8,1,2,8760,1460,1460,5840,N
284,42,100/300,500,1338.54,1000000,MALE,Undergraduate,partner,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,13,1,1,94160,8560,17120,68480,N
59,40,250/500,2000,782.23,0,MALE,Undergraduate,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,0,3,2,51570,5730,11460,34380,N
39,31,250/500,2000,1366.9,0,FEMALE,High School,partner,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,14,3,0,52700,10540,10540,31620,Y
147,34,500/1000,1000,1275.81,0,MALE,High School,partner,Single Vehicle Collision,Side Collision,Minor Damage,Fire,13,1,2,101010,15540,15540,69930,N
156,37,250/500,500,1090.65,0,MALE,High School,partner,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,16,4,2,53400,5340,5340,42720,Y
123,31,250/500,500,1326,0,FEMALE,Undergraduate,partner,Single Vehicle Collision,Side Collision,Total Loss,Fire,13,1,2,72120,12020,12020,48080,N
231,43,250/500,2000,972.47,0,MALE,Undergraduate,partner,Multi-vehicle Collision,Front Collision,Minor Damage,Police,15,3,2,77100,7710,15420,53970,N
247,39,100/300,500,806.31,0,FEMALE,Undergraduate,partner,Parked Car,No Collision,Trivial Damage,Police,3,1,3,3300,600,0,2700,N
194,35,500/1000,500,1416.24,0,FEMALE,Graduate,not-in-family,Parked Car,No Collision,Minor Damage,None,7,1,0,5940,1080,540,4320,N
119,27,250/500,2000,1097.64,0,MALE,High School,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Police,16,2,0,63720,7080,21240,35400,N
259,43,100/300,500,947.75,0,FEMALE,Graduate,not-in-family,Vehicle Theft,No Collision,Trivial Damage,Police,15,1,3,7680,1280,640,5760,N
107,31,100/300,2000,1018.73,5000000,MALE,Undergraduate,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,21,3,2,93730,14420,21630,57680,N
48,44,100/300,2000,1400.74,0,MALE,Undergraduate,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Police,23,3,2,87300,17460,17460,52380,N
267,40,250/500,500,1155.53,5000000,MALE,Graduate,partner,Parked Car,No Collision,Trivial Damage,Police,5,1,2,5670,1260,630,3780,N
286,47,250/500,500,1386.93,0,MALE,High School,partner,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,15,3,0,65800,13160,6580,46060,N
175,34,100/300,500,915.29,0,FEMALE,Graduate,partner,Single Vehicle Collision,Front Collision,Major Damage,Police,14,1,1,36720,4080,4080,28560,Y
111,29,250/500,500,1239.55,2000000,FEMALE,Doctorate,own-child,Single Vehicle Collision,Side Collision,Major Damage,Fire,1,1,1,52800,4800,9600,38400,Y
151,37,250/500,500,1366.42,0,FEMALE,Undergraduate,partner,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,14,3,2,59100,5910,5910,47280,Y
156,37,500/1000,1000,1086.48,6000000,MALE,Undergraduate,partner,Multi-vehicle Collision,Rear Collision,Total Loss,Police,17,3,1,77440,14080,7040,56320,N
165,36,250/500,2000,1247.87,0,MALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Total Loss,Fire,20,3,2,45700,4570,4570,36560,N
253,41,100/300,2000,1312.75,0,FEMALE,Doctorate,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Police,10,3,2,80740,7340,14680,58720,Y
10,26,100/300,2000,765.64,0,MALE,Graduate,not-in-family,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,3,31350,2850,5700,22800,Y
158,33,100/300,2000,1327.41,0,FEMALE,Undergraduate,other-relative,Single Vehicle Collision,Side Collision,Total Loss,Police,0,1,0,35000,3500,7000,24500,N
436,59,500/1000,1000,1338.55,0,MALE,Doctorate,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,10,3,2,68000,13600,6800,47600,N
91,30,250/500,2000,1316.63,8000000,FEMALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Minor Damage,Police,13,3,0,84500,13000,13000,58500,N
256,42,500/1000,1000,1286.44,0,FEMALE,Graduate,partner,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,1,75500,7550,15100,52850,N
274,46,500/1000,1000,1372.18,0,MALE,High School,not-in-family,Multi-vehicle Collision,Side Collision,Total Loss,Police,22,3,3,90600,15100,15100,60400,N
275,45,500/1000,2000,1447.77,0,FEMALE,Undergraduate,partner,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,8,3,1,64320,5360,10720,48240,N
1,33,250/500,500,903.32,0,FEMALE,High School,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,1,3,0,31700,6340,3170,22190,N
85,30,500/1000,1000,1454.42,0,MALE,Undergraduate,other-relative,Single Vehicle Collision,Side Collision,Major Damage,Police,19,1,1,74280,12380,12380,49520,Y
233,37,100/300,2000,1603.42,0,FEMALE,High School,partner,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,2,80520,13420,6710,60390,N
142,30,250/500,2000,1616.58,0,MALE,Graduate,partner,Multi-vehicle Collision,Rear Collision,Major Damage,Police,13,3,3,63600,6360,12720,44520,N
266,44,250/500,500,1611.83,0,MALE,High School,partner,Single Vehicle Collision,Front Collision,Total Loss,Police,4,1,2,32800,3280,3280,26240,N
350,50,500/1000,500,889.13,0,FEMALE,Graduate,other-relative,Multi-vehicle Collision,Rear Collision,Total Loss,Police,14,3,2,44190,9820,4910,29460,N
97,26,250/500,1000,1252.08,0,MALE,Undergraduate,not-in-family,Multi-vehicle Collision,Rear Collision,Major Damage,Police,4,2,2,50400,10080,5040,35280,Y
399,55,500/1000,2000,995.56,0,MALE,Graduate,not-in-family,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,3,1,88400,17680,8840,61880,N
305,49,100/300,2000,1347.92,0,FEMALE,High School,own-child,Multi-vehicle Collision,Front Collision,Total Loss,Fire,21,3,2,66550,12100,6050,48400,N
276,47,100/300,1000,1724.09,0,MALE,Doctorate,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,3,0,65780,5980,11960,47840,N
257,40,250/500,500,1379.93,0,MALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Major Damage,Police,6,3,2,51810,9420,4710,37680,Y
78,31,250/500,1000,1554.64,4000000,MALE,Doctorate,own-child,Single Vehicle Collision,Front Collision,Major Damage,Police,21,1,0,55660,5060,10120,40480,Y
129,28,500/1000,1000,1377.94,0,MALE,Graduate,not-in-family,Single Vehicle Collision,Side Collision,Major Damage,Fire,23,1,3,44640,9920,4960,29760,N
283,46,500/1000,2000,1313.33,0,FEMALE,Doctorate,partner,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,3,77660,7060,14120,56480,Y
85,25,250/500,500,1259.02,0,FEMALE,Graduate,partner,Parked Car,No Collision,Trivial Damage,None,8,1,2,5640,940,940,3760,N
101,26,500/1000,1000,1371.88,0,FEMALE,Graduate,partner,Parked Car,No Collision,Trivial Damage,None,4,1,2,3190,580,580,2030,N
96,30,100/300,500,1399.27,6000000,MALE,Undergraduate,partner,Single Vehicle Collision,Side Collision,Total Loss,Fire,22,1,0,53440,0,6680,46760,N
121,31,500/1000,1000,1061.98,6000000,FEMALE,Graduate,partner,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,1,65250,7250,7250,50750,N
176,39,250/500,500,1365.46,4000000,MALE,Undergraduate,partner,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,14,3,1,44280,4920,4920,34440,N
159,37,500/1000,1000,894.4,0,MALE,Undergraduate,partner,Single Vehicle Collision,Rear Collision,Total Loss,Police,13,1,0,70290,7810,7810,54670,N
120,30,250/500,500,956.69,0,FEMALE,Undergraduate,partner,Single Vehicle Collision,Front Collision,Minor Damage,Police,20,1,1,87100,8710,8710,69680,N
212,35,500/1000,2000,1123.89,0,MALE,Graduate,partner,Multi-vehicle Collision,Front Collision,Total Loss,Fire,0,3,3,50380,4580,4580,41220,N
290,45,100/300,500,1085.03,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,3,2,64800,12960,6480,45360,Y
299,42,100/300,2000,1437.33,0,FEMALE,Undergraduate,partner,Single Vehicle Collision,Rear Collision,Minor Damage,Police,13,1,3,70400,12800,12800,44800,N
66,26,250/500,1000,988.29,0,MALE,Undergraduate,own-child,Single Vehicle Collision,Rear Collision,Major Damage,Police,8,1,2,57860,0,10520,47340,Y
334,47,500/1000,500,1238.89,0,MALE,Graduate,other-relative,Vehicle Theft,No Collision,Minor Damage,None,3,1,3,6240,960,960,4320,N
